Product Id,Product Handle,Product Title,Product Status,Product Description,Product Subtitle,Product External Id,Product Thumbnail,Product Collection Id,Product Type Id,Product Created At,Product Deleted At,Product Discountable,Product Height,Product Hs Code,Product Image 1,Product Image 2,Product Image 3,Product Image 4,Product Is Giftcard,Product Length,Product Material,Product Mid Code,Product Origin Country,Product Sales Channel 1,Product Updated At,Product Weight,Product Width,Variant Id,Variant Title,Variant Sku,Variant Upc,Variant Ean,Variant Hs Code,Variant Mid Code,Variant Manage Inventory,Variant Allow Backorder,Variant Barcode,Variant Created At,Variant Deleted At,Variant Height,Variant Length,Variant Material,Variant Metadata,Variant Option 1 Name,Variant Option 1 Value,Variant Option 2 Name,Variant Option 2 Value,Variant Origin Country,Variant Price EUR,Variant Price USD,Variant Product Id,Variant Updated At,Variant Variant Rank,Variant Weight,Variant Width
prod_01JZ96047S0N9HMS9STFW91JPB,t-shirt,Medusa T-Shirt,published,"Reimagine the feeling of a classic T-shirt. With our cotton T-shirts, everyday essentials no longer have to be ordinary.",,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-front.png,,,2025-07-03T22:20:00.637Z,,true,,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-back.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-white-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-white-back.png,false,,,,,sc_01JZ960126NCPY3MCM0BRXWYXA,2025-07-03T22:20:00.637Z,400,,variant_01JZ96049889H61RFDJQWXMKW1,L / White,SHIRT-L-WHITE,,,,,true,false,,2025-07-03T22:20:00.682Z,,,,,,Size,L,Color,White,,10,15,prod_01JZ96047S0N9HMS9STFW91JPB,2025-07-03T22:20:00.682Z,0,,
prod_01JZ96047S0N9HMS9STFW91JPB,t-shirt,Medusa T-Shirt,published,"Reimagine the feeling of a classic T-shirt. With our cotton T-shirts, everyday essentials no longer have to be ordinary.",,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-front.png,,,2025-07-03T22:20:00.637Z,,true,,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-back.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-white-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-white-back.png,false,,,,,sc_01JZ960126NCPY3MCM0BRXWYXA,2025-07-03T22:20:00.637Z,400,,variant_01JZ960498CS8Z8CXCHG1A5X7X,S / White,SHIRT-S-WHITE,,,,,true,false,,2025-07-03T22:20:00.682Z,,,,,,Size,S,Color,White,,10,15,prod_01JZ96047S0N9HMS9STFW91JPB,2025-07-03T22:20:00.682Z,0,,
prod_01JZ96047S0N9HMS9STFW91JPB,t-shirt,Medusa T-Shirt,published,"Reimagine the feeling of a classic T-shirt. With our cotton T-shirts, everyday essentials no longer have to be ordinary.",,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-front.png,,,2025-07-03T22:20:00.637Z,,true,,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-back.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-white-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-white-back.png,false,,,,,sc_01JZ960126NCPY3MCM0BRXWYXA,2025-07-03T22:20:00.637Z,400,,variant_01JZ960498EY25HR9C4KXGH8EF,S / Black,SHIRT-S-BLACK,,,,,true,false,,2025-07-03T22:20:00.682Z,,,,,,Size,S,Color,Black,,10,15,prod_01JZ96047S0N9HMS9STFW91JPB,2025-07-03T22:20:00.682Z,0,,
prod_01JZ96047S0N9HMS9STFW91JPB,t-shirt,Medusa T-Shirt,published,"Reimagine the feeling of a classic T-shirt. With our cotton T-shirts, everyday essentials no longer have to be ordinary.",,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-front.png,,,2025-07-03T22:20:00.637Z,,true,,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-back.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-white-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-white-back.png,false,,,,,sc_01JZ960126NCPY3MCM0BRXWYXA,2025-07-03T22:20:00.637Z,400,,variant_01JZ960498NDZ8E8VA08BR461F,L / Black,SHIRT-L-BLACK,,,,,true,false,,2025-07-03T22:20:00.682Z,,,,,,Size,L,Color,Black,,10,15,prod_01JZ96047S0N9HMS9STFW91JPB,2025-07-03T22:20:00.682Z,0,,
prod_01JZ96047S0N9HMS9STFW91JPB,t-shirt,Medusa T-Shirt,published,"Reimagine the feeling of a classic T-shirt. With our cotton T-shirts, everyday essentials no longer have to be ordinary.",,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-front.png,,,2025-07-03T22:20:00.637Z,,true,,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-back.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-white-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-white-back.png,false,,,,,sc_01JZ960126NCPY3MCM0BRXWYXA,2025-07-03T22:20:00.637Z,400,,variant_01JZ960498TP85X9TG9T3VZ1QG,M / Black,SHIRT-M-BLACK,,,,,true,false,,2025-07-03T22:20:00.682Z,,,,,,Size,M,Color,Black,,10,15,prod_01JZ96047S0N9HMS9STFW91JPB,2025-07-03T22:20:00.682Z,0,,
prod_01JZ96047S0N9HMS9STFW91JPB,t-shirt,Medusa T-Shirt,published,"Reimagine the feeling of a classic T-shirt. With our cotton T-shirts, everyday essentials no longer have to be ordinary.",,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-front.png,,,2025-07-03T22:20:00.637Z,,true,,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-back.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-white-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-white-back.png,false,,,,,sc_01JZ960126NCPY3MCM0BRXWYXA,2025-07-03T22:20:00.637Z,400,,variant_01JZ960498Y9D3Y654C6BF7AJ3,M / White,SHIRT-M-WHITE,,,,,true,false,,2025-07-03T22:20:00.682Z,,,,,,Size,M,Color,White,,10,15,prod_01JZ96047S0N9HMS9STFW91JPB,2025-07-03T22:20:00.682Z,0,,
prod_01JZ96047S0N9HMS9STFW91JPB,t-shirt,Medusa T-Shirt,published,"Reimagine the feeling of a classic T-shirt. With our cotton T-shirts, everyday essentials no longer have to be ordinary.",,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-front.png,,,2025-07-03T22:20:00.637Z,,true,,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-back.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-white-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-white-back.png,false,,,,,sc_01JZ960126NCPY3MCM0BRXWYXA,2025-07-03T22:20:00.637Z,400,,variant_01JZ96049967XN4WV80E2KPC4R,XL / Black,SHIRT-XL-BLACK,,,,,true,false,,2025-07-03T22:20:00.682Z,,,,,,Size,XL,Color,Black,,10,15,prod_01JZ96047S0N9HMS9STFW91JPB,2025-07-03T22:20:00.682Z,0,,
prod_01JZ96047S0N9HMS9STFW91JPB,t-shirt,Medusa T-Shirt,published,"Reimagine the feeling of a classic T-shirt. With our cotton T-shirts, everyday essentials no longer have to be ordinary.",,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-front.png,,,2025-07-03T22:20:00.637Z,,true,,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-back.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-white-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-white-back.png,false,,,,,sc_01JZ960126NCPY3MCM0BRXWYXA,2025-07-03T22:20:00.637Z,400,,variant_01JZ960499AQPYER4X64Z6MYJB,XL / White,SHIRT-XL-WHITE,,,,,true,false,,2025-07-03T22:20:00.682Z,,,,,,Size,XL,Color,White,,10,15,prod_01JZ96047S0N9HMS9STFW91JPB,2025-07-03T22:20:00.682Z,0,,
prod_01JZ96047SDZQCVGAX6XKQ9DAX,sweatpants,Medusa Sweatpants,published,"Reimagine the feeling of classic sweatpants. With our cotton sweatpants, everyday essentials no longer have to be ordinary.",,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/sweatpants-gray-front.png,,,2025-07-03T22:20:00.637Z,,true,,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/sweatpants-gray-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/sweatpants-gray-back.png,,,false,,,,,sc_01JZ960126NCPY3MCM0BRXWYXA,2025-07-03T22:20:00.637Z,400,,variant_01JZ9604990S8RF4F0FVKKHEJ1,XL,SWEATPANTS-XL,,,,,true,false,,2025-07-03T22:20:00.682Z,,,,,,Size,XL,,,,10,15,prod_01JZ96047SDZQCVGAX6XKQ9DAX,2025-07-03T22:20:00.682Z,0,,
prod_01JZ96047SDZQCVGAX6XKQ9DAX,sweatpants,Medusa Sweatpants,published,"Reimagine the feeling of classic sweatpants. With our cotton sweatpants, everyday essentials no longer have to be ordinary.",,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/sweatpants-gray-front.png,,,2025-07-03T22:20:00.637Z,,true,,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/sweatpants-gray-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/sweatpants-gray-back.png,,,false,,,,,sc_01JZ960126NCPY3MCM0BRXWYXA,2025-07-03T22:20:00.637Z,400,,variant_01JZ9604994X67X6SCJGJQFPQA,M,SWEATPANTS-M,,,,,true,false,,2025-07-03T22:20:00.682Z,,,,,,Size,M,,,,10,15,prod_01JZ96047SDZQCVGAX6XKQ9DAX,2025-07-03T22:20:00.682Z,0,,
prod_01JZ96047SDZQCVGAX6XKQ9DAX,sweatpants,Medusa Sweatpants,published,"Reimagine the feeling of classic sweatpants. With our cotton sweatpants, everyday essentials no longer have to be ordinary.",,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/sweatpants-gray-front.png,,,2025-07-03T22:20:00.637Z,,true,,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/sweatpants-gray-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/sweatpants-gray-back.png,,,false,,,,,sc_01JZ960126NCPY3MCM0BRXWYXA,2025-07-03T22:20:00.637Z,400,,variant_01JZ960499MKVY26J6SPXV2M7Y,S,SWEATPANTS-S,,,,,true,false,,2025-07-03T22:20:00.682Z,,,,,,Size,S,,,,10,15,prod_01JZ96047SDZQCVGAX6XKQ9DAX,2025-07-03T22:20:00.682Z,0,,
prod_01JZ96047SDZQCVGAX6XKQ9DAX,sweatpants,Medusa Sweatpants,published,"Reimagine the feeling of classic sweatpants. With our cotton sweatpants, everyday essentials no longer have to be ordinary.",,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/sweatpants-gray-front.png,,,2025-07-03T22:20:00.637Z,,true,,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/sweatpants-gray-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/sweatpants-gray-back.png,,,false,,,,,sc_01JZ960126NCPY3MCM0BRXWYXA,2025-07-03T22:20:00.637Z,400,,variant_01JZ960499P7MQPG16QSCDPSXH,L,SWEATPANTS-L,,,,,true,false,,2025-07-03T22:20:00.682Z,,,,,,Size,L,,,,10,15,prod_01JZ96047SDZQCVGAX6XKQ9DAX,2025-07-03T22:20:00.682Z,0,,
prod_01JZ96047SRW7EENDCXVMFN7P5,shorts,Medusa Shorts,published,"Reimagine the feeling of classic shorts. With our cotton shorts, everyday essentials no longer have to be ordinary.",,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/shorts-vintage-front.png,,,2025-07-03T22:20:00.637Z,,true,,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/shorts-vintage-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/shorts-vintage-back.png,,,false,,,,,sc_01JZ960126NCPY3MCM0BRXWYXA,2025-07-03T22:20:00.637Z,400,,variant_01JZ960499B7Y23SXSC5QGG8NZ,S,SHORTS-S,,,,,true,false,,2025-07-03T22:20:00.682Z,,,,,,Size,S,,,,10,15,prod_01JZ96047SRW7EENDCXVMFN7P5,2025-07-03T22:20:00.682Z,0,,
prod_01JZ96047SRW7EENDCXVMFN7P5,shorts,Medusa Shorts,published,"Reimagine the feeling of classic shorts. With our cotton shorts, everyday essentials no longer have to be ordinary.",,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/shorts-vintage-front.png,,,2025-07-03T22:20:00.637Z,,true,,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/shorts-vintage-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/shorts-vintage-back.png,,,false,,,,,sc_01JZ960126NCPY3MCM0BRXWYXA,2025-07-03T22:20:00.637Z,400,,variant_01JZ96049AK1KZ8SGNTZFF2PWH,M,SHORTS-M,,,,,true,false,,2025-07-03T22:20:00.683Z,,,,,,Size,M,,,,10,15,prod_01JZ96047SRW7EENDCXVMFN7P5,2025-07-03T22:20:00.683Z,0,,
prod_01JZ96047SRW7EENDCXVMFN7P5,shorts,Medusa Shorts,published,"Reimagine the feeling of classic shorts. With our cotton shorts, everyday essentials no longer have to be ordinary.",,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/shorts-vintage-front.png,,,2025-07-03T22:20:00.637Z,,true,,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/shorts-vintage-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/shorts-vintage-back.png,,,false,,,,,sc_01JZ960126NCPY3MCM0BRXWYXA,2025-07-03T22:20:00.637Z,400,,variant_01JZ96049AN5MZ37ABSVWF7BS1,XL,SHORTS-XL,,,,,true,false,,2025-07-03T22:20:00.683Z,,,,,,Size,XL,,,,10,15,prod_01JZ96047SRW7EENDCXVMFN7P5,2025-07-03T22:20:00.683Z,0,,
prod_01JZ96047SRW7EENDCXVMFN7P5,shorts,Medusa Shorts,published,"Reimagine the feeling of classic shorts. With our cotton shorts, everyday essentials no longer have to be ordinary.",,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/shorts-vintage-front.png,,,2025-07-03T22:20:00.637Z,,true,,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/shorts-vintage-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/shorts-vintage-back.png,,,false,,,,,sc_01JZ960126NCPY3MCM0BRXWYXA,2025-07-03T22:20:00.637Z,400,,variant_01JZ96049ARTYGK9PSHVSSAEZY,L,SHORTS-L,,,,,true,false,,2025-07-03T22:20:00.683Z,,,,,,Size,L,,,,10,15,prod_01JZ96047SRW7EENDCXVMFN7P5,2025-07-03T22:20:00.683Z,0,,
prod_01JZ96047SXYQ89A3Z4P9VT8XW,sweatshirt,Medusa Sweatshirt,published,"Reimagine the feeling of a classic sweatshirt. With our cotton sweatshirt, everyday essentials no longer have to be ordinary.",,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/sweatshirt-vintage-front.png,,,2025-07-03T22:20:00.637Z,,true,,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/sweatshirt-vintage-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/sweatshirt-vintage-back.png,,,false,,,,,sc_01JZ960126NCPY3MCM0BRXWYXA,2025-07-03T22:20:00.637Z,400,,variant_01JZ9604993F2YEAFY1BQH9GKK,M,SWEATSHIRT-M,,,,,true,false,,2025-07-03T22:20:00.682Z,,,,,,Size,M,,,,10,15,prod_01JZ96047SXYQ89A3Z4P9VT8XW,2025-07-03T22:20:00.682Z,0,,
prod_01JZ96047SXYQ89A3Z4P9VT8XW,sweatshirt,Medusa Sweatshirt,published,"Reimagine the feeling of a classic sweatshirt. With our cotton sweatshirt, everyday essentials no longer have to be ordinary.",,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/sweatshirt-vintage-front.png,,,2025-07-03T22:20:00.637Z,,true,,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/sweatshirt-vintage-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/sweatshirt-vintage-back.png,,,false,,,,,sc_01JZ960126NCPY3MCM0BRXWYXA,2025-07-03T22:20:00.637Z,400,,variant_01JZ9604994VTA0CMJWE7F5BF7,XL,SWEATSHIRT-XL,,,,,true,false,,2025-07-03T22:20:00.682Z,,,,,,Size,XL,,,,10,15,prod_01JZ96047SXYQ89A3Z4P9VT8XW,2025-07-03T22:20:00.682Z,0,,
prod_01JZ96047SXYQ89A3Z4P9VT8XW,sweatshirt,Medusa Sweatshirt,published,"Reimagine the feeling of a classic sweatshirt. With our cotton sweatshirt, everyday essentials no longer have to be ordinary.",,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/sweatshirt-vintage-front.png,,,2025-07-03T22:20:00.637Z,,true,,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/sweatshirt-vintage-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/sweatshirt-vintage-back.png,,,false,,,,,sc_01JZ960126NCPY3MCM0BRXWYXA,2025-07-03T22:20:00.637Z,400,,variant_01JZ960499GKS90HWZE5XGS912,L,SWEATSHIRT-L,,,,,true,false,,2025-07-03T22:20:00.682Z,,,,,,Size,L,,,,10,15,prod_01JZ96047SXYQ89A3Z4P9VT8XW,2025-07-03T22:20:00.682Z,0,,
prod_01JZ96047SXYQ89A3Z4P9VT8XW,sweatshirt,Medusa Sweatshirt,published,"Reimagine the feeling of a classic sweatshirt. With our cotton sweatshirt, everyday essentials no longer have to be ordinary.",,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/sweatshirt-vintage-front.png,,,2025-07-03T22:20:00.637Z,,true,,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/sweatshirt-vintage-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/sweatshirt-vintage-back.png,,,false,,,,,sc_01JZ960126NCPY3MCM0BRXWYXA,2025-07-03T22:20:00.637Z,400,,variant_01JZ960499SY73PGT3M91NZ003,S,SWEATSHIRT-S,,,,,true,false,,2025-07-03T22:20:00.682Z,,,,,,Size,S,,,,10,15,prod_01JZ96047SXYQ89A3Z4P9VT8XW,2025-07-03T22:20:00.682Z,0,,